Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22041514466,C003,0,0,0,0,0
22050907935,C004,40,10,3,0,3
22172605014,C003,30,8,6,0,6
22110400815,C003,33,7,7,0,7
22110406119,C004,67,11,5,0,5
22101100329,C008,0,0,0,0,0
22041612605,C009,15,3,3,0,3
22260801603,C003,0,0,0,0,0
22100712203,C005,52,13,3,0,3
22121115303,C011,0,0,0,0,0
22090910607,C004,40,10,10,0,10
22110420806,C012,0,0,0,0,0
22060700125,C003,NULL,NULL,NULL,NULL,NULL
22051027460,C010,28,7,7,0,7
22271702729,C003,40,10,5,0,5
22100708703,C008,0,0,0,0,0
22051018704,C012,0,0,0,0,0
22110418505,C005,88,23,21,1,20
22070307936,C005,0,0,0,0,0
22271510004,C003,0,0,0,0,0
22060706504,C004,56,14,13,0,13
22090600107,C006,30,7,0,0,0
22072500405,C008,0,0,0,0,0
22100607802,C008,33,4,4,0,4
22100720809,C010,0,0,0,0,0
22122102431,C009,20,2,2,0,2
22252300703,C011,0,0,0,0,0
22250508001,C006,0,0,0,0,0
22112215804,C001,24,6,6,0,6
22081301808,C001,0,0,0,0,0
22220811712,C006,20,5,1,0,1
22070324107,C011,0,0,0,0,0
22081324903,C004,0,0,0,0,0
22110414110,C002,0,0,0,0,0
22012300337,C003,0,0,0,0,0
22100617705,C004,0,0,0,0,0
22041629735,C005,72,18,18,0,18
22051027449,C004,25,6,6,0,6
22131309528,C009,20,5,2,0,2
22012002404,C011,0,0,0,0,0
22090307510,C005,40,10,0,0,0
22090201705,C007,30,8,1,0,1
22241602007,C004,30,0,0,0,0
22070601802,C007,25,6,6,3,3
22122102468,C008,0,0,0,0,0
22061709402,C008,34,8,8,0,8
22012003213,C009,0,0,0,0,0
22100607005,C011,0,0,0,0,0
22091100151,C004,65,10,10,0,10
22161500612,C001,0,0,0,0,0
22271906704,C007,0,0,0,0,0
22241801807,C009,30,7,5,0,5
22271401719,C003,40,10,4,1,3
22090616438,C004,90,23,23,0,23
22040213108,C001,0,0,0,0,0
22030505818,C010,0,0,0,0,0
22020102411,C001,10,3,3,0,3
22260909909,C004,40,10,9,0,9
22160808031,C001,0,0,0,0,0
22230301404,C010,12,3,1,0,1
22110405803,C005,25,7,6,0,6
22090616451,C001,100,25,11,0,11
22080703351,C010,115,29,5,0,5
22241808805,C009,0,0,0,0,0
22220400112,C001,20,5,5,0,5
22122808005,C010,0,0,0,0,0
22112218306,C006,NULL,NULL,NULL,NULL,NULL
22143211103,C003,8,2,2,0,2
22241611002,C001,0,0,0,0,0
22041508911,C008,48,11,6,1,5
22110430805,C007,0,0,0,0,0
22110407354,C005,56,14,12,0,12
22271407010,C006,52,13,13,0,13
22100608116,C003,40,10,10,0,10
22012007307,C011,24,6,4,3,1
22030700129,C012,0,0,0,0,0
22110400131,C004,0,0,0,0,0
22070319371,C007,0,0,0,0,0
22070308708,C002,0,0,0,0,0
22072512410,C003,18,3,0,0,0
22171204717,C004,30,8,8,0,8
22271511304,C004,40,10,0,0,0
22080705803,C012,0,0,0,0,0
22012300317,C009,52,13,13,0,13
22070304712,C003,0,0,0,0,0
22072505505,C003,0,0,0,0,0
22191605305,C012,0,0,0,0,0
22100717501,C002,44,11,11,0,11
22101115402,C007,0,0,0,0,0
22012000104,C003,76,10,2,0,2
22060104303,C011,50,12,2,0,2
